    1    1    5.000000000000000e+00
    2    2    4.000000000000000e+00
    1    3    1.500000000000000e+01
    2    3    8.000000000000000e+00
    3    3    6.400000000000000e+01
    2    4    1.200000000000000e+01
    3    4    3.000000000000000e+01
    4    4    5.000000000000000e+01
    3    5    9.000000000000000e+00
    4    5    2.200000000000000e+01
    5    5    3.600000000000000e+01
    1    6    3.000000000000000e+01
    2    6    2.000000000000000e+01
    3    6    1.420000000000000e+02
    4    6    9.000000000000000e+01
    5    6    5.000000000000000e+01
    6    6    3.510000000000000e+02
    5    7    3.000000000000000e+00
    6    7    8.000000000000000e+00
    7    7    1.500000000000000e+01
    5    8    4.000000000000000e+00
    6    8    1.100000000000000e+01
    7    8    2.200000000000000e+01
    8    8    3.600000000000000e+01
    3    9    2.100000000000000e+01
    4    9    5.400000000000000e+01
    5    9    9.200000000000000e+01
    6    9    1.340000000000000e+02
    7    9    2.900000000000000e+01
    8    9    5.000000000000000e+01
    9    9    2.940000000000000e+02
    8   10    9.000000000000000e+00
    9   10    2.600000000000000e+01
   10   10    4.800000000000000e+01
    5   11    1.000000000000000e+01
    6   12    1.000000000000000e+01
