    1    1    5.000000000000000e+00
    2    2    5.000000000000000e+00
    1    3    1.000000000000000e+00
    2    3    1.000000000000000e+00
    3    3    5.000000000000000e+00
    2    4    1.000000000000000e+00
    3    4    1.000000000000000e+00
    4    4    5.000000000000000e+00
    3    5    1.000000000000000e+00
    4    5    1.000000000000000e+00
    5    5    5.000000000000000e+00
    1    6    1.000000000000000e+00
    2    6    1.000000000000000e+00
    3    6    1.000000000000000e+00
    4    6    1.000000000000000e+00
    5    6    1.000000000000000e+00
    6    6    5.000000000000000e+00
    5    7    1.000000000000000e+00
    6    7    1.000000000000000e+00
    7    7    5.000000000000000e+00
    5    8    1.000000000000000e+00
    6    8    1.000000000000000e+00
    7    8    1.000000000000000e+00
    8    8    5.000000000000000e+00
    3    9    1.000000000000000e+00
    4    9    1.000000000000000e+00
    5    9    1.000000000000000e+00
    6    9    1.000000000000000e+00
    7    9    1.000000000000000e+00
    8    9    1.000000000000000e+00
    9    9    5.000000000000000e+00
    8   10    1.000000000000000e+00
    9   10    1.000000000000000e+00
   10   10    5.000000000000000e+00
