    1    1    1.262149999998923e+03
    1    2   -1.581999999998422e+02
    2    2    1.572833333333159e+02
    1    3   -2.794499999997566e+02
    2    3    5.753333333329888e+01
    3    3    6.661666666661192e+01
    1    4    3.566999999996888e+02
    2    4   -8.669999999995616e+01
    3    4   -8.569999999993001e+01
    4    4    1.136999999999106e+02
    1    5    1.949999999998729e+01
    2    5    2.200000000000280e+01
    3    5   -4.999999999969436e-01
    4    5   -2.000000000003952e+00
    5    5    5.500000000000013e+00
    1    6   -7.059999999994216e+01
    2    6   -2.400000000009040e+00
    3    6    1.326666666665348e+01
    4    6   -1.659999999998312e+01
    5    6   -2.999999999999411e+00
    6    6    5.133333333330288e+00
    1    7    6.754999999994267e+01
    2    7   -8.799999999991467e+00
    3    7   -1.438333333332035e+01
    4    7    1.929999999998340e+01
    5    7    4.999999999993401e-01
    6    7   -4.066666666663605e+00
    7    7    5.283333333330289e+00
    1    8    1.669999999998462e+01
    2    8   -7.199999999998074e+00
    3    8   -5.033333333329928e+00
    4    8    6.199999999995653e+00
    5    8   -2.304718915713272e-13
    6    8   -2.666666666658055e-01
    7    8   -3.666666666674986e-01
    8    8    1.533333333333139e+00
    1    9   -3.014999999997330e+01
    2    9    8.399999999996329e+00
    3    9    7.649999999994018e+00
    4    9   -9.899999999992357e+00
    5    9    3.524819325306802e-13
    6    9    1.199999999998542e+00
    7    9   -1.349999999998570e+00
    8    9   -8.999999999996354e-01
    9    9    1.049999999999350e+00
    1   10    1.319999999998842e+01
    2   10   -3.199999999998372e+00
    3   10   -3.199999999997399e+00
    4   10    4.199999999996676e+00
    5   10   -1.477706845776087e-13
    6   10   -5.999999999993715e-01
    7   10    7.999999999993817e-01
    8   10    1.999999999998391e-01
    9   10   -3.999999999997162e-01
   10   10    1.999999999998764e-01
